"city","admin","population","lng","lat"
"Selkirk","Manitoba",9986,-96.883322,50.150026
"Berens River","Manitoba",892,-97.033313,52.366557
"Pukatawagan","Manitoba",431,-101.316617,55.733276
"Gimli","Manitoba",2623,-96.999981,50.633303
"Island Lake","Manitoba",10,-94.766578,53.966588
"Melville","Saskatchewan",4279,-102.799989,50.933311
"Weyburn","Saskatchewan",9362,-103.850003,49.666567
"La Ronge","Saskatchewan",3783,-105.300017,55.100008
"Stony Rapids","Saskatchewan",152,-105.833266,59.266575
"Camrose","Alberta",15808,-112.816639,53.016698
"Hinton","Alberta",10265,-117.58335,53.399982
"Vegreville","Alberta",5813,-112.049967,53.499976
"Stettler","Alberta",5494,-112.683288,52.332967
"Lac La Biche","Alberta",2986,-111.964701,54.77194
"Wetaskiwin","Alberta",11823,-113.383297,52.966572
"Meander River","Alberta",200,-117.682982,59.033282
"Creston","British Columbia",4816,-116.516697,49.09996
"Cranbrook","British Columbia",18610,-115.766665,49.516679
"Terrace","British Columbia",19443,-128.583325,54.499993
"Chilliwack","British Columbia",51942,-121.949983,49.166649
"Hall Beach","Nunavut",654,-81.236083,68.767467
"Lutselke","Northwest Territories",102,-110.733329,62.400053
"Hay River","Northwest Territories",3900,-115.700003,60.849993
"Doline","Northwest Territories",525,-123.416664,65.183346
"Paulatuk","Northwest Territories",294,-123.983321,69.383322
"Tsiigehtchic","Northwest Territories",175,-133.749986,67.433286
"Owen Sound","Ontario",22625,-80.849985,44.566645
"Orillia","Ontario",37483,-79.416662,44.599977
"Kapuskasing","Ontario",9240,-82.433325,49.416685
"Thessalon","Ontario",1464,-83.550001,46.249979
"Geraldton","Ontario",1290,-86.96664,49.716641
"Belleville","Ontario",43990,-77.383349,44.16667
"Sarnia","Ontario",144172,-82.399968,42.96664
"Peterborough","Ontario",83627,-78.333265,44.299969
"Oshawa","Ontario",450963,-78.849978,43.879995
"London","Ontario",346765,-81.249987,42.969999
"Kitchener","Ontario",417001,-80.500007,43.449995
"New Liskeard","Ontario",5203,-79.666647,47.500006
"Brockville","Ontario",26458,-75.695313,44.58928
"Big Beaver House","Ontario",10,-89.883284,52.949984
"Port-Menier","Québec",263,-64.347995,49.822578
"Rivière-du-Loup","Québec",16403,-69.533312,47.833294
"Drummondville","Québec",59489,-72.483364,45.883335
"Sherbrooke","Québec",139652,-71.899989,45.400005
"Cap-Chat","Québec",1484,-66.683305,49.09996
"Baie-Comeau","Québec",10435,-68.157995,49.222666
"Natashquan","Québec",722,-61.810656,50.191341
"Eastmain","Québec",335,-78.516691,52.233335
"Schefferville","Québec",471,-66.816656,54.8
"Salluit","Québec",106,-75.659501,62.182599
"Amos","Québec",10516,-78.116664,48.566634
"Joliette","Québec",45361,-73.433306,46.033326
"St.-Jerome","Québec",78439,-73.99999,45.76665
"St-Augustin","Québec",3961,-58.646999,51.24231
"Rouyn-Noranda","Québec",24602,-79.033249,48.250012
"La Sarre","Québec",7206,-79.200034,48.800005
"New Glasgow","Nova Scotia",20322,-62.633319,45.583276
"Liverpool","Nova Scotia",4331,-64.720014,44.039959
"Amherst","Nova Scotia",9336,-64.216582,45.816569
"Baddeck","Nova Scotia",852,-60.753977,46.099988
"Deer Lake","Newfoundland and Labrador",4163,-57.426919,49.1744
"La Scie","Newfoundland and Labrador",817,-55.583,49.967013
"Hopedale","Newfoundland and Labrador",442,-60.216671,55.44996
"Happy Valley - Goose Bay","Newfoundland and Labrador",7572,-60.299999,53.299988
"Port Hope Simpson","Newfoundland and Labrador",197,-56.300011,52.533291
"Tofino","British Columbia",1655,-125.862125,49.098616
"Steinbach","Manitoba",9729,-96.683308,49.517093
"Nelson House","Manitoba",2500,-98.850023,55.800456
"Shamattawa","Manitoba",870,-92.083279,55.850375
"Oxford House","Manitoba",184,-95.266599,54.950404
"Yorkton","Saskatchewan",15172,-102.466547,51.217066
"Swift Current","Saskatchewan",14906,-107.766611,50.283738
"Biggar","Saskatchewan",2192,-107.98329,52.0504
"Kindersley","Saskatchewan",4383,-109.133298,51.466974
"Meadow Lake","Saskatchewan",5882,-108.434736,54.130118
"Hudson Bay","Saskatchewan",2157,-102.383296,52.850429
"Lethbridge","Alberta",70617,-112.833278,49.700492
"Brooks","Alberta",14163,-111.900002,50.567054
"Lake Louise","Alberta",1248,-116.183281,51.433694
"Athabasca","Alberta",2539,-113.266585,54.717034
"Fort Chipewyan","Alberta",3222,-111.149996,58.717099
"Bella Bella","British Columbia",1400,-128.117281,52.148405
"Sandspit","British Columbia",538,-131.833282,53.240405
"Campbell River","British Columbia",33430,-125.249988,50.017088
"Port Hardy","British Columbia",2295,-127.49998,50.717071
"Nanaimo","British Columbia",84905,-123.934291,49.14602
"Quesnel","British Columbia",13788,-122.483284,52.983677
"Abbotsford","British Columbia",151683,-122.299987,49.050377
